Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Red Deck Wins,http://www.mtgtop8.com/event?e=27330&d=416574&f=MO,pootisgodsamongus,173,597,34.95,342
Red Deck Wins,http://www.mtgtop8.com/event?e=27410&d=417514&f=MO,pootisgodsamongus,173,598,34.95,342
Burn,http://www.mtgtop8.com/event?e=27387&d=417216&f=MO,Mamada Chikashi,481,791,34.95,141
Burn,http://www.mtgtop8.com/event?e=27387&d=417220&f=MO,Toishi Otohiko,411,765,34.95,186
Jund,http://www.mtgtop8.com/event?e=27209&d=414097&f=MO,albert62,1345,1529,59.95,509
Burn,http://www.mtgtop8.com/event?e=27309&d=416299&f=MO,Mamada Chikashi,481,791,34.95,141
RDW,http://www.mtgtop8.com/event?e=27352&d=416893&f=MO,Frontuto Daniele,478,835,34.95,161
Red Deck Wins,http://www.mtgtop8.com/event?e=27209&d=414098&f=MO,The_nayr,185,613,34.95,353
Burn,http://www.mtgtop8.com/event?e=27247&d=414470&f=MO,Inui Hayato,405,759,34.95,179
Jund,http://www.mtgtop8.com/event?e=27421&d=417722&f=MO,Joe Chaney,1366,1677,59.95,545
Burn,http://www.mtgtop8.com/event?e=27147&d=413558&f=MO,jacenty_b,429,781,34.95,167
Burn,http://www.mtgtop8.com/event?e=27296&d=416188&f=MO,Boin,440,722,34.95,153
Red Deck Wins,http://www.mtgtop8.com/event?e=27192&d=413945&f=MO,Stan Golovchuk,163,579,34.95,333
Jund,http://www.mtgtop8.com/event?e=27233&d=414333&f=MO,faisal,1270,1680,59.95,543
Jund,http://www.mtgtop8.com/event?e=27384&d=417195&f=MO,Joe Chaney,1366,1675,59.95,545
Prowess Deck Wins,http://www.mtgtop8.com/event?e=27309&d=416308&f=MO,Tanno Seita,177,484,34.95,141
Burn,http://www.mtgtop8.com/event?e=27160&d=413693&f=MO,Okabe Kiyotaka,474,775,34.95,145
RDW,http://www.mtgtop8.com/event?e=27341&d=416783&f=MO,Hukutoku Kazuto,324,690,34.95,209
Burn,http://www.mtgtop8.com/event?e=27098&d=413066&f=MO,Lorenzo Nicoli,468,784,34.95,132
Prowess Deck Wins,http://www.mtgtop8.com/event?e=27147&d=413559&f=MO,Capin_ahab,188,508,34.95,167
Burn,http://www.mtgtop8.com/event?e=27341&d=416785&f=MO,Kasagi Yuuji,421,761,34.95,171
Jund,http://www.mtgtop8.com/event?e=27387&d=417219&f=MO,Nagao Naoki,1316,1718,59.95,601
Jund,http://www.mtgtop8.com/event?e=27257&d=414575&f=MO,liuyuchen,1343,1724,59.95,554
