Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Red Deck Wins,http://www.mtgtop8.com/event?e=27192&d=413945&f=MO,Stan Golovchuk,239,579,34.95,320,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27330&d=416574&f=MO,pootisgodsamongus,249,595,34.95,328,MO
RDW,http://www.mtgtop8.com/event?e=27352&d=416893&f=MO,Frontuto Daniele,455,836,34.95,164,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27209&d=414098&f=MO,The_nayr,261,608,34.95,340,MO
Burn,http://www.mtgtop8.com/event?e=27247&d=414470&f=MO,Inui Hayato,384,760,34.95,177,MO
Jund,http://www.mtgtop8.com/event?e=27257&d=414575&f=MO,liuyuchen,1322,1724,59.95,562,MO
Burn,http://www.mtgtop8.com/event?e=27387&d=417216&f=MO,Mamada Chikashi,479,792,34.95,137,MO
Burn,http://www.mtgtop8.com/event?e=27147&d=413558&f=MO,jacenty_b,421,781,34.95,164,MO
Burn,http://www.mtgtop8.com/event?e=27387&d=417221&f=MO,Machida Ryuutarou,422,769,34.95,164,MO
Burn,http://www.mtgtop8.com/event?e=27160&d=413693&f=MO,Okabe Kiyotaka,472,778,34.95,141,MO
Burn,http://www.mtgtop8.com/event?e=27098&d=413066&f=MO,Lorenzo Nicoli,466,775,34.95,128,MO
Jund,http://www.mtgtop8.com/event?e=27209&d=414097&f=MO,albert62,1328,1531,59.95,527,MO
Burn,http://www.mtgtop8.com/event?e=27437&d=417897&f=MO,AbelMolto,521,933,34.95,118,MO
Jund,http://www.mtgtop8.com/event?e=27421&d=417722&f=MO,Joe Chaney,1322,1675,59.95,556,MO
Jund,http://www.mtgtop8.com/event?e=27384&d=417195&f=MO,Joe Chaney,1322,1675,59.95,556,MO
Prowess Deck Wins,http://www.mtgtop8.com/event?e=27147&d=413559&f=MO,Capin_ahab,187,503,34.95,169,MO
Burn,http://www.mtgtop8.com/event?e=27296&d=416188&f=MO,Boin,438,724,34.95,150,MO
Boros Burn,http://www.mtgtop8.com/event?e=27404&d=417452&f=MO,Mark Ostmann,398,760,34.95,154,MO
RDW,http://www.mtgtop8.com/event?e=27341&d=416783&f=MO,Hukutoku Kazuto,325,692,34.95,212,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27410&d=417514&f=MO,pootisgodsamongus,249,596,34.95,328,MO
Burn,http://www.mtgtop8.com/event?e=27387&d=417220&f=MO,Toishi Otohiko,401,766,34.95,183,MO
Jund,http://www.mtgtop8.com/event?e=27387&d=417219&f=MO,Nagao Naoki,1318,1717,59.95,607,MO
Burn,http://www.mtgtop8.com/event?e=27341&d=416785&f=MO,Kasagi Yuuji,404,761,34.95,169,MO
Prowess Deck Wins,http://www.mtgtop8.com/event?e=27309&d=416308&f=MO,Tanno Seita,176,485,34.95,140,MO
Jund,http://www.mtgtop8.com/event?e=27410&d=417515&f=MO,Reynad,1481,1693,59.95,683,MO
Jund,http://www.mtgtop8.com/event?e=27410&d=417526&f=MO,Alucart,1305,1656,59.95,546,MO
Jund,http://www.mtgtop8.com/event?e=27318&d=416422&f=MO,Wakayama Tetuya,1160,1459,59.95,528,MO
Jund,http://www.mtgtop8.com/event?e=27233&d=414333&f=MO,faisal,1278,1683,59.95,551,MO
Burn,http://www.mtgtop8.com/event?e=27309&d=416299&f=MO,Mamada Chikashi,479,792,34.95,137,MO
Jund,http://www.mtgtop8.com/event?e=27212&d=414108&f=MO,Yamamoto Yuuki,1367,1770,59.95,603,MO
Jund,http://www.mtgtop8.com/event?e=27209&d=414096&f=MO,liuyuchen,1275,1677,59.95,549,MO
Jund,http://www.mtgtop8.com/event?e=27161&d=413700&f=MO,liuyuchen,1275,1677,59.95,549,MO
Jund,http://www.mtgtop8.com/event?e=27106&d=413192&f=MO,trader08111,1313,1701,59.95,601,MO
Jund,http://www.mtgtop8.com/event?e=27101&d=413088&f=MO,Bruno_Mineiro,1253,1620,59.95,555,MO
Jund,http://www.mtgtop8.com/event?e=27198&d=414008&f=MO,Murai Tatsuya,1059,1413,59.95,556,MO
UR Aggro,http://www.mtgtop8.com/event?e=27353&d=416910&f=MO,hurricanexyz,451,765,34.95,145,MO
Jund,http://www.mtgtop8.com/event?e=27075&d=412818&f=MO,Murai Tatsuya,1059,1413,59.95,554,MO
Jund,http://www.mtgtop8.com/event?e=27012&d=411659&f=MO,TheWonderLord,1352,1648,59.95,658,MO
UR Aggro,http://www.mtgtop8.com/event?e=27247&d=414472&f=MO,Komikado Hayato,446,768,34.95,207,MO
UR Aggro,http://www.mtgtop8.com/event?e=27056&d=412663&f=MO,aManatease,468,797,34.95,196,MO
UR Aggro,http://www.mtgtop8.com/event?e=27128&d=413357&f=MO,Koshimoto Haruki,376,674,34.95,181,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27211&d=414103&f=MO,Diego Santini,516,862,34.95,163,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27098&d=413069&f=MO,Nicola Zeni,507,850,34.95,130,MO
UR Aggro,http://www.mtgtop8.com/event?e=27344&d=416802&f=MO,Nakamura Kouki,562,948,34.95,248,MO
Izzet Blitz,http://www.mtgtop8.com/event?e=26999&d=411503&f=MO,Kelvin Au,493,848,34.95,152,MO
UR Aggro,http://www.mtgtop8.com/event?e=27021&d=411735&f=MO,sandydogmtg,469,788,34.95,179,MO
UR Aggro,http://www.mtgtop8.com/event?e=27147&d=413554&f=MO,rcazcueta,460,825,34.95,165,MO
UR Aggro,http://www.mtgtop8.com/event?e=27353&d=416908&f=MO,time_is_a_goon,631,1102,34.95,103,MO
Jund,http://www.mtgtop8.com/event?e=27107&d=413187&f=MO,Yasuda Masato,1374,1748,59.95,635,MO
UR Aggro,http://www.mtgtop8.com/event?e=27012&d=411658&f=MO,excel0679,487,831,34.95,141,MO
UR Aggro,http://www.mtgtop8.com/event?e=27344&d=416807&f=MO,Masuda Satoshi,529,849,34.95,185,MO
UR Aggro,http://www.mtgtop8.com/event?e=27135&d=413444&f=MO,Zudin Rodion,472,932,34.95,88,MO
UR Aggro,http://www.mtgtop8.com/event?e=27352&d=416889&f=MO,Fregosi Lorenzo,404,788,34.95,219,MO
UR Aggro,http://www.mtgtop8.com/event?e=26966&d=411132&f=MO,kbzx,469,812,34.95,134,MO
UR Aggro,http://www.mtgtop8.com/event?e=27341&d=416782&f=MO,Tezuka Chisei,362,755,34.95,171,MO
Izzet Blitz,http://www.mtgtop8.com/event?e=27404&d=417450&f=MO,Maximilian Schutter,566,907,34.95,238,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27181&d=413847&f=MO,Skullhavoc,378,718,34.95,149,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27098&d=413072&f=MO,Davide Vignali,533,890,34.95,141,MO
Jund,http://www.mtgtop8.com/event?e=27135&d=413443&f=MO,Nogawa Yousuke,1276,1555,59.95,473,MO
Jund,http://www.mtgtop8.com/event?e=27081&d=412898&f=MO,Arai Hiroshi,1395,1705,59.95,571,MO
Eldrazi Aggro,http://www.mtgtop8.com/event?e=27438&d=417901&f=MO,Hayakawa Youhei,677,594,34.95,162,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27344&d=416806&f=MO,Kobayashi Tatsuumi,597,589,34.95,306,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27364&d=417017&f=MO,Inoue Masanao,663,653,34.95,323,MO
Bant Eldrazi,http://www.mtgtop8.com/event?e=27236&d=414356&f=MO,Hervé Brocker,520,898,34.95,128,MO
Eldratron,http://www.mtgtop8.com/event?e=27155&d=413649&f=MO,Cédric Roy,642,639,34.95,305,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27160&d=413692&f=MO,Kobayashi Tatsuumi,597,589,34.95,306,MO
Eldrazi Aggro,http://www.mtgtop8.com/event?e=27309&d=416302&f=MO,Ishikawa Kousuke,561,698,34.95,158,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27017&d=411718&f=MO,Arimura Masanori,663,653,34.95,329,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27198&d=414007&f=MO,Kobayashi Tatsuumi,597,589,34.95,306,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26913&d=409912&f=MO,Mukai Takashi,666,657,34.95,319,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27247&d=414469&f=MO,Kaneko Seiya,835,765,34.95,302,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26966&d=411123&f=MO,Snusnumrick,608,596,34.95,312,MO
