Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Monoblack Devotion,http://www.mtgtop8.com/event?e=27446&d=417989&f=PI,Takeoutree,35,106,9.95,2
Mono Black Aggro,http://www.mtgtop8.com/event?e=27440&d=417932&f=PI,Oreuga,360,408,34.95,157
Mono Black Aggro,http://www.mtgtop8.com/event?e=27183&d=413862&f=PI,mahzinha_linda,344,346,34.95,125
Mono Black Aggro,http://www.mtgtop8.com/event?e=27378&d=417128&f=PI,Kazuga,343,343,34.95,124
Mono Black Aggro,http://www.mtgtop8.com/event?e=26893&d=409676&f=PI,bolov0,343,344,34.95,124
Mono Black Aggro,http://www.mtgtop8.com/event?e=27112&d=413243&f=PI,bolov0,340,342,34.95,124
Mono Black Aggro,http://www.mtgtop8.com/event?e=27183&d=413861&f=PI,nathanb1992,310,341,34.95,126
Devotion to Green,http://www.mtgtop8.com/event?e=27183&d=413865&f=PI,Searzist,443,412,59.95,216
Mono Green Aggro,http://www.mtgtop8.com/event?e=27175&d=413815&f=PI,qbturtle15,182,214,9.95,55
Devotion to Green,http://www.mtgtop8.com/event?e=27259&d=414602&f=PI,Curveiganhei,465,429,59.95,216
Devotion to Green,http://www.mtgtop8.com/event?e=27342&d=416792&f=PI,Juumonji Ryou,434,413,34.95,207
Mono Black Aggro,http://www.mtgtop8.com/event?e=27259&d=414601&f=PI,trukanshii,343,344,34.95,124
Mono Black Aggro,http://www.mtgtop8.com/event?e=26854&d=409300&f=PI,Daigo Toshimune,340,345,34.95,124
Mono Black Aggro,http://www.mtgtop8.com/event?e=27342&d=416790&f=PI,Kageyama Hiroki,244,292,9.95,66
Devotion to Green,http://www.mtgtop8.com/event?e=27159&d=413691&f=PI,Nakano Satoshi,456,435,34.95,197
Mono Black Aggro,http://www.mtgtop8.com/event?e=27195&d=413971&f=PI,Niwa Keita,344,404,34.95,127
Vampires,http://www.mtgtop8.com/event?e=27153&d=413642&f=PI,Bandit Keith,384,433,34.95,138
Devotion to Green,http://www.mtgtop8.com/event?e=27077&d=412852&f=PI,stonepeanut,424,406,34.95,186
Mono Black Aggro,http://www.mtgtop8.com/event?e=26845&d=409143&f=PI,jundilion,239,290,9.95,66
Devotion to Green,http://www.mtgtop8.com/event?e=27175&d=413819&f=PI,watsorb,483,433,59.95,221
Mono Black Aggro,http://www.mtgtop8.com/event?e=27226&d=414262&f=PI,Nakamura Masaya,312,343,34.95,129
Devotion to Green,http://www.mtgtop8.com/event?e=27077&d=412851&f=PI,Chub_Toad_,428,408,34.95,202
Devotion to Green,http://www.mtgtop8.com/event?e=27195&d=413970&f=PI,Motokawa Satoshi,357,340,34.95,180
Mono Black Aggro,http://www.mtgtop8.com/event?e=27214&d=414123&f=PI,Nishio Tomoyasu,303,335,34.95,122
Mono Black Aggro,http://www.mtgtop8.com/event?e=27241&d=414399&f=PI,pokerswizard,360,409,34.95,157
Mono Black Aggro,http://www.mtgtop8.com/event?e=26790&d=407908&f=PI,Dragonjonz,323,324,34.95,118
Mono Black Aggro,http://www.mtgtop8.com/event?e=26745&d=407370&f=PI,Ishibashi Yukinori,300,332,34.95,117
Devotion to Green,http://www.mtgtop8.com/event?e=27183&d=413866&f=PI,Beekeeper,431,409,34.95,203
Mono Black Aggro,http://www.mtgtop8.com/event?e=26745&d=407375&f=PI,Nishio Tomoyasu,274,304,34.95,111
Mono Black Aggro,http://www.mtgtop8.com/event?e=27241&d=414400&f=PI,reisenza,274,304,34.95,116
Devotion to Green,http://www.mtgtop8.com/event?e=27113&d=413242&f=PI,Kuroda Kentarou,408,390,34.95,193
Devotion to Green,http://www.mtgtop8.com/event?e=27010&d=411642&f=PI,papporockentucara,356,334,34.95,177
Devotion to Green,http://www.mtgtop8.com/event?e=27043&d=412067&f=PI,JV_7777,448,429,34.95,196
Devotion to Green,http://www.mtgtop8.com/event?e=27007&d=411611&f=PI,Bryzem1,428,410,34.95,186
Devotion to Green,http://www.mtgtop8.com/event?e=27043&d=412064&f=PI,Joltivation,428,408,34.95,186
Devotion to Green,http://www.mtgtop8.com/event?e=26875&d=409512&f=PI,Shimazaki Taichi,447,406,34.95,200
Devotion to Green,http://www.mtgtop8.com/event?e=26893&d=409670&f=PI,D00mwake,449,431,34.95,196
Devotion to Simic,http://www.mtgtop8.com/event?e=26975&d=411233&f=PI,Sasaki Kazuya,547,543,34.95,203
Bant Spirit,http://www.mtgtop8.com/event?e=27446&d=417988&f=PI,Luanbraga,449,431,34.95,118
Devotion to Green,http://www.mtgtop8.com/event?e=26841&d=409108&f=PI,nathansteuer,447,422,34.95,207
Uw Spirit Aggro,http://www.mtgtop8.com/event?e=27446&d=417990&f=PI,Cunhapuka,169,183,9.95,49
