Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Gruul Adventure,http://www.mtgtop8.com/event?e=27430&d=417789&f=ST,Camilo Mora,357,233,34.95,166
Mono Green Aggro,http://www.mtgtop8.com/event?e=27346&d=416842&f=ST,Shawn Montgomery,261,291,9.95,78
Mono Green Aggro,http://www.mtgtop8.com/event?e=27346&d=416844&f=ST,Rezedentgenius,192,222,9.95,77
Mono Green Aggro,http://www.mtgtop8.com/event?e=27429&d=417787&f=ST,Kenton Stalder,383,314,34.95,111
Mono Green Aggro,http://www.mtgtop8.com/event?e=27362&d=417000&f=ST,Allan Araujo Gontijo,168,203,34.95,76
Adventure,http://www.mtgtop8.com/event?e=27349&d=416871&f=ST,Fernando Ortiz,389,413,34.95,306
Adventure,http://www.mtgtop8.com/event?e=27349&d=416869&f=ST,Dice2k6,377,395,34.95,306
Adventure,http://www.mtgtop8.com/event?e=27414&d=417594&f=ST,Tangrams,183,269,34.95,156
Mono Green Aggro,http://www.mtgtop8.com/event?e=27430&d=417788&f=ST,Yuhei Komatsu,404,335,34.95,121
Adventure,http://www.mtgtop8.com/event?e=27307&d=416279&f=ST,Parker Pham,381,405,34.95,166
Gruul Adventure,http://www.mtgtop8.com/event?e=27412&d=417576&f=ST,Hajime Sugawara,408,274,34.95,214
Adventure,http://www.mtgtop8.com/event?e=27350&d=416877&f=ST,Thales Alexandre Albuquerque,330,330,34.95,155
Mono Green Aggro,http://www.mtgtop8.com/event?e=27379&d=417150&f=ST,jankyb,192,222,9.95,76
Mono Green Aggro,http://www.mtgtop8.com/event?e=27340&d=416771&f=ST,Emma Echols,248,278,34.95,90
Adventure,http://www.mtgtop8.com/event?e=27411&d=417546&f=ST,Tomohiro Nakagawa,181,188,34.95,141
Mono Green Aggro,http://www.mtgtop8.com/event?e=27430&d=417794&f=ST,Atelier,567,473,34.95,156
Mono Green Aggro,http://www.mtgtop8.com/event?e=27430&d=417790&f=ST,Tomohiro Tsuda,404,335,34.95,121
Adventure,http://www.mtgtop8.com/event?e=27431&d=417806&f=ST,Alejandro Medina Sandín,159,136,34.95,138
Adventure,http://www.mtgtop8.com/event?e=27381&d=417159&f=ST,Paulo César Palhares Lima,450,500,59.95,328
Gruul Adventure,http://www.mtgtop8.com/event?e=27412&d=417578&f=ST,Shohei Yamamoto,408,273,34.95,216
Adventure,http://www.mtgtop8.com/event?e=27448&d=418014&f=ST,HEROtsukai,285,279,34.95,173
Adventure,http://www.mtgtop8.com/event?e=27435&d=417874&f=ST,Matías Arvigo,204,192,34.95,144
Adventure,http://www.mtgtop8.com/event?e=27411&d=417545&f=ST,Noriyuki Mori,208,178,34.95,154
Adventure,http://www.mtgtop8.com/event?e=27329&d=416552&f=ST,kasa,337,334,34.95,160
Adventure,http://www.mtgtop8.com/event?e=27411&d=417556&f=ST,Thiago Jachelli,255,260,34.95,152
Adventure,http://www.mtgtop8.com/event?e=27329&d=416557&f=ST,trukanshii,355,374,34.95,160
Gruul Adventure,http://www.mtgtop8.com/event?e=27435&d=417872&f=ST,Caleb Durward,405,280,34.95,141
Mono Green Aggro,http://www.mtgtop8.com/event?e=27348&d=416855&f=ST,Elijah Woodbury,193,215,34.95,87
Adventure,http://www.mtgtop8.com/event?e=27329&d=416558&f=ST,duofanel,337,335,34.95,161
Adventure,http://www.mtgtop8.com/event?e=27348&d=416857&f=ST,Jason Williamson,344,367,34.95,155
Mono Green Aggro,http://www.mtgtop8.com/event?e=27386&d=417205&f=ST,Futatsugami Takahito,262,292,34.95,81
Mono Green Aggro,http://www.mtgtop8.com/event?e=27423&d=417734&f=ST,Yosida Minoru,242,322,34.95,89
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416545&f=ST,thinenagooyen,180,209,34.95,75
Mono Green Aggro,http://www.mtgtop8.com/event?e=27307&d=416280&f=ST,Tulio Filho,142,176,9.95,66
Mono Green Aggro,http://www.mtgtop8.com/event?e=27317&d=416415&f=ST,Brandon Sheffer,213,244,34.95,74
Red Deck Wins,http://www.mtgtop8.com/event?e=27411&d=417543&f=ST,Michael Craven,115,113,9.95,47
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416551&f=ST,Mogged,204,240,9.95,71
Red Deck Wins,http://www.mtgtop8.com/event?e=27424&d=417746&f=ST,Lucas Garofolo,158,112,9.95,63
Red Deck Wins,http://www.mtgtop8.com/event?e=27346&d=416841&f=ST,Tyler Heule,113,125,9.95,49
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416543&f=ST,tagosaku,142,176,9.95,66
Red Deck Wins,http://www.mtgtop8.com/event?e=27418&d=417652&f=ST,Lucas Garofolo,158,112,9.95,63
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416544&f=ST,_Batutinha_,179,209,34.95,84
Red Deck Wins,http://www.mtgtop8.com/event?e=27419&d=417664&f=ST,Zack Fink,123,119,9.95,48
Red Deck Wins,http://www.mtgtop8.com/event?e=27445&d=417985&f=ST,Thanh Van,41,59,9.95,9
Red Deck Wins,http://www.mtgtop8.com/event?e=27317&d=416414&f=ST,Tyler Heule,113,125,9.95,49
Mono Green Aggro,http://www.mtgtop8.com/event?e=27343&d=416794&f=ST,Ohkawa Yusuke,142,176,9.95,66
Red Deck Wins,http://www.mtgtop8.com/event?e=27365&d=417024&f=ST,Brandon Burton,113,125,9.95,49
Red Deck Wins,http://www.mtgtop8.com/event?e=27349&d=416870&f=ST,Lucas Garofolo,115,119,9.95,49
Red Deck Wins,http://www.mtgtop8.com/event?e=27349&d=416872&f=ST,Tyler Heule,113,125,9.95,49
Red Deck Wins,http://www.mtgtop8.com/event?e=27411&d=417558&f=ST,Davis Munsat,111,120,9.95,47
Red Deck Wins,http://www.mtgtop8.com/event?e=27221&d=414164&f=ST,Tyler Heule,113,125,9.95,49
Red Deck Wins,http://www.mtgtop8.com/event?e=27419&d=417654&f=ST,Brandon Burton,140,118,9.95,55
Red Deck Wins,http://www.mtgtop8.com/event?e=27448&d=418016&f=ST,mahzinha_linda,139,123,9.95,55
