Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Ludevic + Kraum,http://www.mtgtop8.com/event?e=27402&d=417436&f=EDH,Jakub Lelek,655,4045,34.95,264,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=26979&d=411283&f=EDH,Xu Zinan,885,2266,34.95,197,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26259&d=399633&f=EDH,Danziir,610,3959,34.95,246,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=27210&d=414100&f=EDH,Zhang Cang,638,845,34.95,191,EDH
Winota,http://www.mtgtop8.com/event?e=27217&d=414133&f=EDH,Damien 'eventwin' Jantzen,1043,2343,34.95,164,EDH
Winota,http://www.mtgtop8.com/event?e=26632&d=405798&f=EDH,Thomas Polloni,408,608,34.95,150,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26758&d=407506&f=EDH,Grosduk,626,3987,34.95,246,EDH
Winota Double,http://www.mtgtop8.com/event?e=26647&d=406000&f=EDH,Jsd,1043,2317,34.95,135,EDH
Winota,http://www.mtgtop8.com/event?e=27372&d=417088&f=EDH,Maxime Chausson,827,2085,34.95,205,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26347&d=400992&f=EDH,Luiz Duarte,685,1029,34.95,246,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=27237&d=414360&f=EDH,Jakub Lelek,680,4071,34.95,265,EDH
Ludevic + kraum,http://www.mtgtop8.com/event?e=27171&d=413782&f=EDH,Sébastien Flottes,288,1299,34.95,140,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=27244&d=414447&f=EDH,"Guohao,cai",789,2104,34.95,120,EDH
Winota,http://www.mtgtop8.com/event?e=26758&d=407504&f=EDH,Martin Vlnas,828,2171,34.95,186,EDH
Winota,http://www.mtgtop8.com/event?e=27171&d=413780&f=EDH,Jonathan Valentin,504,702,34.95,98,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=27312&d=416334&f=EDH,Jason Lam,750,2041,34.95,186,EDH
Winota,http://www.mtgtop8.com/event?e=26722&d=407008&f=EDH,Thomas Polloni,408,608,34.95,150,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26555&d=404949&f=EDH,Léon Mouries-martin,603,3963,34.95,244,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=27145&d=413545&f=EDH,Armel Richard,500,1736,9.95,93,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=27053&d=412626&f=EDH,Julien Lagardère,607,971,34.95,167,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26559&d=405003&f=EDH,Michael Olsen,653,4006,34.95,297,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26620&d=405675&f=EDH,Felipe Santos,616,3967,34.95,238,EDH
Ludevic,http://www.mtgtop8.com/event?e=27019&d=411727&f=EDH,Boris Gaboriau,598,3966,34.95,242,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26747&d=407390&f=EDH,Benjamin Cottet,643,3994,34.95,253,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=27177&d=413824&f=EDH,Milos Palek,644,3886,34.95,249,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=27255&d=414563&f=EDH,Léon Mouries-martin,621,3969,34.95,245,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26864&d=409387&f=EDH,"Ethis ""zoto"" Marguerite",578,3925,34.95,228,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26721&d=407007&f=EDH,"Léon ""tchoupi"" Mouries-martin",601,3948,34.95,257,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=26572&d=405129&f=EDH,Vaclav Hrdlicka,874,2721,34.95,167,EDH
Ludevic + Kraum,http://www.mtgtop8.com/event?e=26555&d=404947&f=EDH,"Ethis ""zoto"" Marguerite",588,3926,34.95,228,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=26597&d=405357&f=EDH,Kokonutted,832,2164,34.95,188,EDH
"Hogaak, Arisen Necropolis",http://www.mtgtop8.com/event?e=27020&d=411729&f=EDH,Bitzelberg,1475,3375,34.95,196,EDH
"Hogaak, Arisen Necropolis",http://www.mtgtop8.com/event?e=27174&d=413797&f=EDH,Lantariel,1564,3450,34.95,199,EDH
"Hogaak, Arisen Necropolis",http://www.mtgtop8.com/event?e=26318&d=400575&f=EDH,Stefan C.,1521,3481,34.95,230,EDH
"Winota, Joiner Of Forces",http://www.mtgtop8.com/event?e=26434&d=402730&f=EDH,Orlando Bibiano,858,2189,34.95,140,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=26450&d=402958&f=EDH,Martial Benoit,1018,2510,34.95,93,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=27090&d=412963&f=EDH,Tuktukwhosthere,1109,2600,34.95,92,EDH
Winota,http://www.mtgtop8.com/event?e=26258&d=399631&f=EDH,Martin Vlnas,838,2178,34.95,188,EDH
"Hogaak, Nécropole Transcendée",http://www.mtgtop8.com/event?e=27356&d=416948&f=EDH,Kevin Minatchy,1463,3327,34.95,211,EDH
Grenzo,http://www.mtgtop8.com/event?e=26489&d=403417&f=EDH,Baptiste Capou,1155,2685,34.95,124,EDH
Winota,http://www.mtgtop8.com/event?e=26332&d=400732&f=EDH,Guillaume Abenia,791,2073,34.95,195,EDH
Hogaak,http://www.mtgtop8.com/event?e=27053&d=412627&f=EDH,Yvan Lucas,1634,3582,34.95,221,EDH
Hogaak,http://www.mtgtop8.com/event?e=26347&d=400993&f=EDH,Rafael Ozores,719,1698,34.95,170,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=27297&d=416205&f=EDH,"Romain ""ejell"" Foucher",1022,2519,34.95,93,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=27218&d=414141&f=EDH,"Romain ""ejell"" Fouchier",1022,2519,34.95,93,EDH
Akiri + Tymna,http://www.mtgtop8.com/event?e=27065&d=412702&f=EDH,Eduardo Tognoli,1734,5290,34.95,160,EDH
"Hogaak, Arisen Necropolis",http://www.mtgtop8.com/event?e=27333&d=416604&f=EDH,Autiquet Axel,1564,3453,34.95,199,EDH
Hogaak,http://www.mtgtop8.com/event?e=26258&d=399626&f=EDH,Robert Bohuslav,3994,4888,34.95,187,EDH
Hogaak,http://www.mtgtop8.com/event?e=26258&d=399628&f=EDH,Tomaš Vardžik,1880,4562,34.95,232,EDH
Hogaak,http://www.mtgtop8.com/event?e=26347&d=400991&f=EDH,Lucas Dias,664,1670,34.95,178,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=26864&d=409390&f=EDH,"Romain ""ejell"" Fouchier",967,2454,34.95,81,EDH
"Hogaak, Arisen Necropolis",http://www.mtgtop8.com/event?e=27177&d=413830&f=EDH,Robert Starke,1519,3416,34.95,196,EDH
Grenzo,http://www.mtgtop8.com/event?e=27377&d=417124&f=EDH,Sénéchau Hippolyte,1213,2724,34.95,114,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=27255&d=414564&f=EDH,Hippolyte Sénéchau,1195,2708,34.95,122,EDH
Hoogak,http://www.mtgtop8.com/event?e=26332&d=400731&f=EDH,"Quentin ""bobota"" Rullaud",1589,3485,34.95,197,EDH
Akiri + Tymna,http://www.mtgtop8.com/event?e=27011&d=411656&f=EDH,Lucas Felix,801,2040,34.95,122,EDH
"Grenzo, Dungeon Warden",http://www.mtgtop8.com/event?e=26555&d=404951&f=EDH,Romain Fouchier,1016,2517,34.95,90,EDH
Hogaak,http://www.mtgtop8.com/event?e=27089&d=412959&f=EDH,Axel Autiquet,1564,3451,34.95,199,EDH
Tymna + Ludevic,http://www.mtgtop8.com/event?e=27177&d=413828&f=EDH,David Stepanek,15214,12866,34.95,328,EDH
Partner Abzan,http://www.mtgtop8.com/event?e=27051&d=412618&f=EDH,Aurélien Lion,2133,5627,34.95,184,EDH
Isamaru Core 2021,http://www.mtgtop8.com/event?e=26759&d=407515&f=EDH,Bastien Guichard (isakami),365,494,9.95,67,EDH
"Kari Zev, Skyship Raider",http://www.mtgtop8.com/event?e=27333&d=416605&f=EDH,Dorey Benoît,91,379,9.95,37,EDH
"Anax, Hardened In The Forge",http://www.mtgtop8.com/event?e=27121&d=413312&f=EDH,Alexandre Charbonnier,330,749,9.95,64,EDH
Akiri & Thrasios,http://www.mtgtop8.com/event?e=26318&d=400572&f=EDH,Samuel Z.,7836,13569,59.95,442,EDH
Tymna + Sidar Kondo,http://www.mtgtop8.com/event?e=26572&d=405128&f=EDH,Zdenek Hlavsa,2046,5291,34.95,185,EDH
