Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Burn,http://www.mtgtop8.com/event?e=27387&d=417216&f=MO,Mamada Chikashi,540,786,34.95,137,MO
Burn,http://www.mtgtop8.com/event?e=27387&d=417221&f=MO,Machida Ryuutarou,463,765,34.95,164,MO
RDW,http://www.mtgtop8.com/event?e=27352&d=416893&f=MO,Frontuto Daniele,454,828,34.95,165,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27330&d=416574&f=MO,pootisgodsamongus,247,600,34.95,318,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27192&d=413945&f=MO,Stan Golovchuk,236,585,34.95,310,MO
Burn,http://www.mtgtop8.com/event?e=27437&d=417897&f=MO,AbelMolto,540,925,34.95,119,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27209&d=414098&f=MO,The_nayr,259,612,34.95,329,MO
Burn,http://www.mtgtop8.com/event?e=27247&d=414470&f=MO,Inui Hayato,420,756,34.95,177,MO
Jund,http://www.mtgtop8.com/event?e=27384&d=417195&f=MO,Joe Chaney,1331,1659,59.95,527,MO
Prowess Deck Wins,http://www.mtgtop8.com/event?e=27147&d=413559&f=MO,Capin_ahab,180,504,34.95,172,MO
Jund,http://www.mtgtop8.com/event?e=27209&d=414097&f=MO,albert62,1342,1513,59.95,500,MO
Red Deck Wins,http://www.mtgtop8.com/event?e=27410&d=417514&f=MO,pootisgodsamongus,247,603,34.95,318,MO
Burn,http://www.mtgtop8.com/event?e=27296&d=416188&f=MO,Boin,494,720,34.95,149,MO
RDW,http://www.mtgtop8.com/event?e=27341&d=416783&f=MO,Hukutoku Kazuto,318,689,34.95,216,MO
Burn,http://www.mtgtop8.com/event?e=27160&d=413693&f=MO,Okabe Kiyotaka,528,771,34.95,141,MO
Jund,http://www.mtgtop8.com/event?e=27257&d=414575&f=MO,liuyuchen,1386,1710,59.95,531,MO
Jund,http://www.mtgtop8.com/event?e=27421&d=417722&f=MO,Joe Chaney,1331,1660,59.95,526,MO
Burn,http://www.mtgtop8.com/event?e=27098&d=413066&f=MO,Lorenzo Nicoli,522,771,34.95,128,MO
Burn,http://www.mtgtop8.com/event?e=27147&d=413558&f=MO,jacenty_b,462,765,34.95,164,MO
Burn,http://www.mtgtop8.com/event?e=27387&d=417220&f=MO,Toishi Otohiko,437,763,34.95,183,MO
Jund,http://www.mtgtop8.com/event?e=27209&d=414096&f=MO,liuyuchen,1334,1661,59.95,516,MO
Jund,http://www.mtgtop8.com/event?e=27318&d=416422&f=MO,Wakayama Tetuya,1170,1445,59.95,507,MO
Prowess Deck Wins,http://www.mtgtop8.com/event?e=27309&d=416308&f=MO,Tanno Seita,169,485,34.95,141,MO
Jund,http://www.mtgtop8.com/event?e=27387&d=417219&f=MO,Nagao Naoki,1352,1705,59.95,571,MO
Jund,http://www.mtgtop8.com/event?e=27410&d=417526&f=MO,Alucart,1314,1644,59.95,520,MO
Boros Burn,http://www.mtgtop8.com/event?e=27404&d=417452&f=MO,Mark Ostmann,444,758,34.95,155,MO
Burn,http://www.mtgtop8.com/event?e=27341&d=416785&f=MO,Kasagi Yuuji,450,758,34.95,170,MO
Jund,http://www.mtgtop8.com/event?e=27212&d=414108&f=MO,Yamamoto Yuuki,1431,1756,59.95,571,MO
Jund,http://www.mtgtop8.com/event?e=27233&d=414333&f=MO,faisal,1337,1666,59.95,519,MO
Jund,http://www.mtgtop8.com/event?e=27410&d=417515&f=MO,Reynad,1497,1677,59.95,654,MO
Burn,http://www.mtgtop8.com/event?e=27309&d=416299&f=MO,Mamada Chikashi,540,785,34.95,137,MO
Jund,http://www.mtgtop8.com/event?e=27161&d=413700&f=MO,liuyuchen,1334,1661,59.95,516,MO
Jund,http://www.mtgtop8.com/event?e=27106&d=413192&f=MO,trader08111,1347,1690,59.95,567,MO
Jund,http://www.mtgtop8.com/event?e=27101&d=413088&f=MO,Bruno_Mineiro,1312,1607,59.95,524,MO
Jund,http://www.mtgtop8.com/event?e=27198&d=414008&f=MO,Murai Tatsuya,1068,1401,59.95,531,MO
Jund,http://www.mtgtop8.com/event?e=27075&d=412818&f=MO,Murai Tatsuya,1068,1401,59.95,531,MO
Jund,http://www.mtgtop8.com/event?e=27107&d=413187&f=MO,Yasuda Masato,1413,1735,59.95,599,MO
Jund,http://www.mtgtop8.com/event?e=27012&d=411659&f=MO,TheWonderLord,1386,1640,59.95,623,MO
Jund,http://www.mtgtop8.com/event?e=27135&d=413443&f=MO,Nogawa Yousuke,1290,1543,59.95,446,MO
Izzet Blitz,http://www.mtgtop8.com/event?e=26999&d=411503&f=MO,Kelvin Au,508,843,34.95,152,MO
UR Aggro,http://www.mtgtop8.com/event?e=27128&d=413357&f=MO,Koshimoto Haruki,381,675,34.95,183,MO
UR Aggro,http://www.mtgtop8.com/event?e=27056&d=412663&f=MO,aManatease,478,797,34.95,196,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27211&d=414103&f=MO,Diego Santini,531,856,34.95,163,MO
UR Aggro,http://www.mtgtop8.com/event?e=27353&d=416908&f=MO,time_is_a_goon,649,1093,34.95,107,MO
UR Aggro,http://www.mtgtop8.com/event?e=27147&d=413554&f=MO,rcazcueta,470,820,34.95,165,MO
UR Aggro,http://www.mtgtop8.com/event?e=27353&d=416910&f=MO,hurricanexyz,469,760,34.95,145,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27181&d=413847&f=MO,Skullhavoc,383,715,34.95,150,MO
UR Aggro,http://www.mtgtop8.com/event?e=27344&d=416802&f=MO,Nakamura Kouki,632,945,34.95,242,MO
UR Aggro,http://www.mtgtop8.com/event?e=27352&d=416889&f=MO,Fregosi Lorenzo,399,787,34.95,219,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27098&d=413072&f=MO,Davide Vignali,550,883,34.95,141,MO
UR Aggro,http://www.mtgtop8.com/event?e=27012&d=411658&f=MO,excel0679,506,824,34.95,142,MO
UR Aggro,http://www.mtgtop8.com/event?e=27341&d=416782&f=MO,Tezuka Chisei,357,756,34.95,171,MO
Eldrazi Aggro,http://www.mtgtop8.com/event?e=27438&d=417901&f=MO,Hayakawa Youhei,631,586,34.95,169,MO
UR Aggro,http://www.mtgtop8.com/event?e=27021&d=411735&f=MO,sandydogmtg,479,785,34.95,180,MO
UR Aggro,http://www.mtgtop8.com/event?e=27344&d=416807&f=MO,Masuda Satoshi,544,844,34.95,185,MO
UR Aggro,http://www.mtgtop8.com/event?e=26966&d=411132&f=MO,kbzx,484,807,34.95,134,MO
Ur Prowess,http://www.mtgtop8.com/event?e=27098&d=413069&f=MO,Nicola Zeni,523,843,34.95,131,MO
UR Aggro,http://www.mtgtop8.com/event?e=27247&d=414472&f=MO,Komikado Hayato,451,768,34.95,210,MO
UR Aggro,http://www.mtgtop8.com/event?e=27135&d=413444&f=MO,Zudin Rodion,490,923,34.95,92,MO
Jund,http://www.mtgtop8.com/event?e=27081&d=412898&f=MO,Arai Hiroshi,1416,1687,59.95,546,MO
Izzet Blitz,http://www.mtgtop8.com/event?e=27404&d=417450&f=MO,Maximilian Schutter,576,904,34.95,239,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27344&d=416806&f=MO,Kobayashi Tatsuumi,601,571,34.95,305,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27364&d=417017&f=MO,Inoue Masanao,668,637,34.95,327,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27017&d=411718&f=MO,Arimura Masanori,666,638,34.95,332,MO
Eldratron,http://www.mtgtop8.com/event?e=27155&d=413649&f=MO,Cédric Roy,645,624,34.95,308,MO
Bant Eldrazi,http://www.mtgtop8.com/event?e=27236&d=414356&f=MO,Hervé Brocker,520,886,34.95,135,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27160&d=413692&f=MO,Kobayashi Tatsuumi,601,571,34.95,305,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26966&d=411123&f=MO,Snusnumrick,614,581,34.95,315,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26931&d=410190&f=MO,Gen Takatoshi,674,642,34.95,329,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27198&d=414007&f=MO,Kobayashi Tatsuumi,601,571,34.95,309,MO
Eldrazi Aggro,http://www.mtgtop8.com/event?e=27309&d=416302&f=MO,Ishikawa Kousuke,563,690,34.95,173,MO
Eldra Tron,http://www.mtgtop8.com/event?e=27247&d=414469&f=MO,Kaneko Seiya,784,748,34.95,307,MO
Eldratron,http://www.mtgtop8.com/event?e=26926&d=410030&f=MO,Sablandriel,691,679,34.95,329,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26824&d=408445&f=MO,Boku Takashi,675,642,34.95,325,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26874&d=409504&f=MO,Kikkawa Kento,590,566,34.95,300,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26973&d=411208&f=MO,Taguma Kouki,623,614,34.95,309,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26833&d=408545&f=MO,Miyagishi Kouki,646,654,34.95,305,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26913&d=409912&f=MO,Mukai Takashi,671,656,34.95,318,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26861&d=409363&f=MO,Kawasaki Kyouhei,683,663,34.95,326,MO
Eldra Tron,http://www.mtgtop8.com/event?e=26874&d=409500&f=MO,Tamura Ryouhei,607,575,34.95,304,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27161&d=413701&f=MO,Thrall90,643,1009,34.95,301,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27296&d=416187&f=MO,junior97,1058,1473,59.95,465,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27184&d=413876&f=MO,Dlihchtarw,1058,1476,59.95,465,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=26965&d=411106&f=MO,Rav104,560,947,34.95,233,MO
Rakdos Midrange,http://www.mtgtop8.com/event?e=27437&d=417898&f=MO,Dlihchtarw,1031,1454,59.95,466,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=26965&d=411102&f=MO,aplapp,481,875,34.95,248,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27022&d=411739&f=MO,Volollo,509,878,34.95,234,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27101&d=413099&f=MO,fede1,1058,1478,59.95,462,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27387&d=417215&f=MO,Kobayashi Shigeyuki,522,900,34.95,283,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27106&d=413195&f=MO,Gerschi,484,862,34.95,227,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27021&d=411733&f=MO,karatedom,549,939,34.95,284,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=26965&d=411104&f=MO,exoticherman,519,904,34.95,271,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27243&d=414442&f=MO,Filippo Simonini,487,873,34.95,284,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27022&d=411744&f=MO,Theo_Jung,502,903,34.95,281,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27437&d=417896&f=MO,jwaves,763,847,34.95,261,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27152&d=413630&f=MO,Filippo Simonini,464,856,34.95,282,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27161&d=413699&f=MO,Gerschi,486,867,34.95,227,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27098&d=413071&f=MO,Filippo Simonini,464,856,34.95,282,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27309&d=416303&f=MO,Yamamoto Daisuke,705,764,34.95,261,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27410&d=417521&f=MO,slow_brz,635,721,34.95,234,MO
Rakdos Aggro,http://www.mtgtop8.com/event?e=27233&d=414328&f=MO,mstuff63,545,922,34.95,274,MO
Rakdos Midrange,http://www.mtgtop8.com/event?e=26977&d=411261&f=MO,Albyz,810,1192,59.95,387,MO
Gixis Death's Shadow,http://www.mtgtop8.com/event?e=27211&d=414102&f=MO,Thibaud Zemp,697,884,34.95,200,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27330&d=416573&f=MO,Skrown,621,810,34.95,192,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27242&d=414425&f=MO,eneges,880,1153,34.95,200,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27353&d=416907&f=MO,hcook725,639,724,34.95,238,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27233&d=414320&f=MO,Darkiundsa,709,874,34.95,232,MO
Grixis Shadow,http://www.mtgtop8.com/event?e=27404&d=417454&f=MO,Alexander Müller,727,1024,34.95,254,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27198&d=414005&f=MO,Eric Choo,739,960,34.95,230,MO
Humans,http://www.mtgtop8.com/event?e=26976&d=411242&f=MO,Nicky Horel,778,779,34.95,342,MO
Death's Shadow,http://www.mtgtop8.com/event?e=27184&d=413879&f=MO,__BMJ__,954,1293,59.95,389,MO
Human,http://www.mtgtop8.com/event?e=27403&d=417441&f=MO,Arrias,815,812,34.95,369,MO
Humans,http://www.mtgtop8.com/event?e=27204&d=414042&f=MO,Nakano Yuusuke,815,814,34.95,372,MO
Humans,http://www.mtgtop8.com/event?e=26973&d=411209&f=MO,Mizue Youta,759,793,34.95,335,MO
Humans,http://www.mtgtop8.com/event?e=26824&d=408449&f=MO,Kawai Riku,723,748,34.95,284,MO
Humans,http://www.mtgtop8.com/event?e=27330&d=416578&f=MO,kanister,757,781,34.95,319,MO
Death's Shadow,http://www.mtgtop8.com/event?e=26966&d=411119&f=MO,Phill_Hellmuth,718,969,34.95,254,MO
Humans,http://www.mtgtop8.com/event?e=27410&d=417524&f=MO,oshea,756,782,34.95,323,MO
Humans,http://www.mtgtop8.com/event?e=27012&d=411662&f=MO,chicers,853,905,34.95,335,MO
Humans,http://www.mtgtop8.com/event?e=27437&d=417895&f=MO,UnstableJoker,804,805,34.95,368,MO
Death’s Shadow,http://www.mtgtop8.com/event?e=27118&d=413299&f=MO,Nicolas Roure,603,833,34.95,245,MO
Humans,http://www.mtgtop8.com/event?e=27352&d=416891&f=MO,Alemani Mauro,817,817,34.95,363,MO
Humans,http://www.mtgtop8.com/event?e=26966&d=411122&f=MO,Fluorspar,811,808,34.95,359,MO
Jund Death's Shadow,http://www.mtgtop8.com/event?e=27101&d=413100&f=MO,B1gDan,944,1291,59.95,331,MO
Humans,http://www.mtgtop8.com/event?e=27410&d=417528&f=MO,Xwhale,860,860,34.95,380,MO
Death's Shadow,http://www.mtgtop8.com/event?e=26965&d=411103&f=MO,Pennywisse,713,940,34.95,222,MO
Death's Shadow,http://www.mtgtop8.com/event?e=26840&d=409094&f=MO,_Batutinha_,898,1044,59.95,338,MO
Death's Shadow,http://www.mtgtop8.com/event?e=26931&d=410189&f=MO,Oono Seita,855,997,34.95,263,MO
Humans,http://www.mtgtop8.com/event?e=27309&d=416312&f=MO,Inada Keisuke,710,755,34.95,291,MO
Humans,http://www.mtgtop8.com/event?e=26713&d=406951&f=MO,Inada Keisuke,745,775,34.95,291,MO
Azorius Humans,http://www.mtgtop8.com/event?e=27081&d=412896&f=MO,Ushinohama Takashi,387,512,9.95,168,MO
Humans,http://www.mtgtop8.com/event?e=26706&d=406856&f=MO,darklingseven,774,804,34.95,335,MO
Merfolk,http://www.mtgtop8.com/event?e=27330&d=416576&f=MO,Nikachu,1039,1744,59.95,664,MO
Merfolk,http://www.mtgtop8.com/event?e=27437&d=417894&f=MO,superaitch,254,1080,9.95,82,MO
Merfolk,http://www.mtgtop8.com/event?e=27152&d=413632&f=MO,Nicola Zeni,611,1424,59.95,535,MO
