Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Boros Metalcraft,http://www.mtgtop8.com/event?e=27450&d=418047&f=PAU,dragon7k,53,427,9.95,63,PAU
Ub Delver,http://www.mtgtop8.com/event?e=27452&d=418075&f=PAU,Giovanni Postorino,73,644,9.95,87,PAU
UB Delver,http://www.mtgtop8.com/event?e=27439&d=417910&f=PAU,Edubalf,96,746,9.95,76,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27441&d=417949&f=PAU,uspdudes,43,347,9.95,26,PAU
UB Delver,http://www.mtgtop8.com/event?e=27450&d=418048&f=PAU,NY8381,72,588,9.95,29,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27144&d=413537&f=PAU,_Batutinha_,61,362,9.95,65,PAU
Boros Monarc,http://www.mtgtop8.com/event?e=27124&d=413329&f=PAU,Gabriel Zapellaro,59,332,9.95,46,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27401&d=417429&f=PAU,Okauchi Yuuta,54,422,9.95,48,PAU
Mardu Monarch,http://www.mtgtop8.com/event?e=26896&d=409699&f=PAU,Hugo,49,424,9.95,58,PAU
Boros Monarch,http://www.mtgtop8.com/event?e=27405&d=417457&f=PAU,Henrique Fernandes,54,403,9.95,53,PAU
Marduu First Leandro Drops,http://www.mtgtop8.com/event?e=26796&d=407931&f=PAU,Leandro Wegner,58,331,9.95,44,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27442&d=417964&f=PAU,Forgotten,65,363,9.95,61,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27444&d=417971&f=PAU,Hiro_taquara,56,412,9.95,42,PAU
UB Delver,http://www.mtgtop8.com/event?e=27354&d=416936&f=PAU,bombaj,85,591,9.95,86,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27441&d=417941&f=PAU,Store_Shop17,47,372,9.95,48,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27441&d=417946&f=PAU,Boin,52,330,9.95,56,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27166&d=413724&f=PAU,gottelicious,59,380,9.95,57,PAU
Boros Monarch,http://www.mtgtop8.com/event?e=27253&d=414548&f=PAU,Zaaaamu,53,426,9.95,59,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27096&d=413051&f=PAU,murilobds,52,398,9.95,47,PAU
Ub Delver,http://www.mtgtop8.com/event?e=27050&d=412614&f=PAU,Jeferson Borba,74,734,9.95,69,PAU
Boros Monarch,http://www.mtgtop8.com/event?e=26896&d=409698&f=PAU,Takamura_,54,374,9.95,42,PAU
Ub Delver,http://www.mtgtop8.com/event?e=27256&d=414571&f=PAU,Gabriel Francisco Silva,76,681,9.95,69,PAU
UB Delver,http://www.mtgtop8.com/event?e=27096&d=413050&f=PAU,RiuuK1,84,735,9.95,72,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27249&d=414486&f=PAU,Brunods25,63,415,9.95,45,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27357&d=416961&f=PAU,CrilaPeoty,42,322,9.95,54,PAU
