Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Devotion to Green,http://www.mtgtop8.com/event?e=27342&d=416792&f=PI,Juumonji Ryou,374,409,34.95,203,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27183&d=413866&f=PI,Beekeeper,372,406,34.95,199,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27466&d=418227&f=PI,HellMonkey,364,418,34.95,103,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27378&d=417128&f=PI,Kazuga,301,344,34.95,125,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27043&d=412067&f=PI,JV_7777,392,425,34.95,187,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27259&d=414602&f=PI,Curveiganhei,390,427,59.95,207,PI
Mono Green Aggro,http://www.mtgtop8.com/event?e=27175&d=413815&f=PI,qbturtle15,183,212,9.95,54,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27342&d=416790&f=PI,Kageyama Hiroki,245,292,9.95,67,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27077&d=412852&f=PI,stonepeanut,368,402,34.95,176,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27175&d=413819&f=PI,watsorb,406,442,59.95,212,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27183&d=413865&f=PI,Searzist,366,404,59.95,212,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27007&d=411611&f=PI,Bryzem1,372,405,34.95,177,PI
Devotion to Green,http://www.mtgtop8.com/event?e=26893&d=409670&f=PI,D00mwake,393,428,34.95,192,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27259&d=414601&f=PI,trukanshii,301,344,34.95,125,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27113&d=413242&f=PI,Kuroda Kentarou,352,388,34.95,184,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27466&d=418240&f=PI,vMI-NAv,301,345,34.95,125,PI
Monoblack Devotion,http://www.mtgtop8.com/event?e=27446&d=417989&f=PI,Takeoutree,35,105,9.95,2,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27043&d=412064&f=PI,Joltivation,372,403,34.95,182,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27159&d=413691&f=PI,Nakano Satoshi,400,431,34.95,188,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27440&d=417932&f=PI,Oreuga,356,409,34.95,158,PI
Devotion to Green,http://www.mtgtop8.com/event?e=26975&d=411234&f=PI,Tsuruoka Morito,373,409,34.95,177,PI
Devotion to Simic,http://www.mtgtop8.com/event?e=26975&d=411233&f=PI,Sasaki Kazuya,492,540,34.95,194,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27214&d=414123&f=PI,Nishio Tomoyasu,283,334,34.95,122,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27195&d=413970&f=PI,Motokawa Satoshi,301,335,34.95,176,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27226&d=414262&f=PI,Nakamura Masaya,292,342,34.95,130,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27010&d=411642&f=PI,papporockentucara,300,334,34.95,167,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27241&d=414400&f=PI,reisenza,254,304,34.95,116,PI
Devotion to Green,http://www.mtgtop8.com/event?e=27077&d=412851&f=PI,Chub_Toad_,369,404,34.95,198,PI
Devotion to Green,http://www.mtgtop8.com/event?e=26875&d=409512&f=PI,Shimazaki Taichi,391,399,34.95,191,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27241&d=414399&f=PI,pokerswizard,356,409,34.95,159,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27183&d=413861&f=PI,nathanb1992,290,340,34.95,127,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27112&d=413243&f=PI,bolov0,298,343,34.95,124,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27183&d=413862&f=PI,mahzinha_linda,302,345,34.95,125,PI
Vampires,http://www.mtgtop8.com/event?e=27153&d=413642&f=PI,Bandit Keith,380,433,34.95,139,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=27195&d=413971&f=PI,Niwa Keita,346,404,34.95,128,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=26893&d=409676&f=PI,bolov0,301,344,34.95,125,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=26854&d=409300&f=PI,Daigo Toshimune,298,342,34.95,125,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=26845&d=409143&f=PI,jundilion,238,290,9.95,66,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=26790&d=407908&f=PI,Dragonjonz,281,324,34.95,119,PI
UW Spirit Aggro,http://www.mtgtop8.com/event?e=27069&d=412742&f=PI,Nakano Yuusuke,214,208,34.95,106,PI
Spirit Aggro,http://www.mtgtop8.com/event?e=27158&d=413686&f=PI,Maryu Soutarou,396,393,34.95,103,PI
Mono Black Aggro,http://www.mtgtop8.com/event?e=26745&d=407375&f=PI,Nishio Tomoyasu,254,305,34.95,111,PI
Uw Spirit Aggro,http://www.mtgtop8.com/event?e=27446&d=417990&f=PI,Cunhapuka,191,182,9.95,46,PI
UW Spirit Aggro,http://www.mtgtop8.com/event?e=26937&d=410245&f=PI,Sahara Kohei,220,218,9.95,53,PI
UW Spirit Aggro,http://www.mtgtop8.com/event?e=27159&d=413689&f=PI,Nakano Yuusuke,234,220,9.95,96,PI
UW Spirit Aggro,http://www.mtgtop8.com/event?e=27010&d=411638&f=PI,Carrollis,214,211,34.95,133,PI
RDW,http://www.mtgtop8.com/event?e=27322&d=416467&f=PI,Igarashi Tomohiro,227,208,9.95,114,PI
RDW,http://www.mtgtop8.com/event?e=27159&d=413690&f=PI,Osanai Yuuma,239,219,34.95,109,PI
UW Spirit Aggro,http://www.mtgtop8.com/event?e=27077&d=412848&f=PI,Snusnumrick,213,198,9.95,44,PI
Red Deck Wins,http://www.mtgtop8.com/event?e=27077&d=412853&f=PI,ShowTime_,148,179,34.95,128,PI
Red Deck Wins,http://www.mtgtop8.com/event?e=27183&d=413863&f=PI,_Shatun_,148,179,34.95,128,PI
UW Spirit Aggro,http://www.mtgtop8.com/event?e=26934&d=410208&f=PI,NobodyKnowsImADog,259,222,9.95,59,PI
RDW,http://www.mtgtop8.com/event?e=27226&d=414261&f=PI,Terasawa Yu,239,219,34.95,109,PI
Spirit Aggro,http://www.mtgtop8.com/event?e=27422&d=417727&f=PI,Nakajima Chikara,454,449,34.95,187,PI
