Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Gruul Adventure,http://www.mtgtop8.com/event?e=27430&d=417789&f=ST,Camilo Mora,358,233,34.95,166,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27362&d=417000&f=ST,Allan Araujo Gontijo,167,202,34.95,75,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27346&d=416842&f=ST,Shawn Montgomery,262,289,9.95,77,ST
Adventure,http://www.mtgtop8.com/event?e=27350&d=416877&f=ST,Thales Alexandre Albuquerque,330,331,34.95,157,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27346&d=416844&f=ST,Rezedentgenius,191,221,9.95,76,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27429&d=417787&f=ST,Kenton Stalder,309,309,34.95,110,ST
Adventure,http://www.mtgtop8.com/event?e=27431&d=417806&f=ST,Alejandro Medina Sandín,181,143,34.95,142,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27464&d=418218&f=ST,Carson Bell,309,308,34.95,110,ST
Adventure,http://www.mtgtop8.com/event?e=27414&d=417594&f=ST,Tangrams,212,259,34.95,156,ST
Adventure,http://www.mtgtop8.com/event?e=27349&d=416871&f=ST,Fernando Ortiz,389,408,34.95,302,ST
Gruul Adventure,http://www.mtgtop8.com/event?e=27412&d=417578&f=ST,Shohei Yamamoto,392,274,34.95,217,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27430&d=417790&f=ST,Tomohiro Tsuda,330,330,34.95,120,ST
Adventure,http://www.mtgtop8.com/event?e=27381&d=417159&f=ST,Paulo César Palhares Lima,448,502,59.95,325,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27457&d=418131&f=ST,Oppo Dump,330,330,34.95,120,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27430&d=417788&f=ST,Yuhei Komatsu,330,330,34.95,120,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27340&d=416771&f=ST,Emma Echols,244,276,34.95,89,ST
Adventure,http://www.mtgtop8.com/event?e=27307&d=416279&f=ST,Parker Pham,382,410,34.95,168,ST
Gruul Adventure,http://www.mtgtop8.com/event?e=27435&d=417872&f=ST,Caleb Durward,353,277,34.95,142,ST
Gruul Adventure,http://www.mtgtop8.com/event?e=27412&d=417576&f=ST,Hajime Sugawara,387,274,34.95,215,ST
Adventure,http://www.mtgtop8.com/event?e=27411&d=417546&f=ST,Tomohiro Nakagawa,217,194,34.95,144,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27430&d=417794&f=ST,Atelier,429,471,34.95,155,ST
Adventure,http://www.mtgtop8.com/event?e=27349&d=416869&f=ST,Dice2k6,374,394,34.95,303,ST
Adventure,http://www.mtgtop8.com/event?e=27411&d=417556&f=ST,Thiago Jachelli,250,265,34.95,156,ST
Adventure,http://www.mtgtop8.com/event?e=27435&d=417874&f=ST,Matías Arvigo,221,198,34.95,147,ST
Adventure,http://www.mtgtop8.com/event?e=27448&d=418014&f=ST,HEROtsukai,291,286,34.95,177,ST
Adventure,http://www.mtgtop8.com/event?e=27411&d=417545&f=ST,Noriyuki Mori,228,184,34.95,156,ST
Adventure,http://www.mtgtop8.com/event?e=27329&d=416557&f=ST,trukanshii,354,376,34.95,162,ST
Adventure,http://www.mtgtop8.com/event?e=27329&d=416552&f=ST,kasa,337,336,34.95,162,ST
Adventure,http://www.mtgtop8.com/event?e=27329&d=416558&f=ST,duofanel,337,337,34.95,162,ST
Adventure,http://www.mtgtop8.com/event?e=27348&d=416857&f=ST,Jason Williamson,343,370,34.95,157,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27346&d=416841&f=ST,Tyler Heule,151,125,9.95,50,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27419&d=417664&f=ST,Zack Fink,152,119,9.95,49,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27419&d=417654&f=ST,Brandon Burton,160,117,9.95,56,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27349&d=416872&f=ST,Tyler Heule,151,125,9.95,50,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27424&d=417746&f=ST,Lucas Garofolo,148,112,9.95,63,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27317&d=416415&f=ST,Brandon Sheffer,211,242,34.95,74,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27379&d=417150&f=ST,jankyb,191,221,9.95,76,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27423&d=417734&f=ST,Yosida Minoru,238,322,34.95,89,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27418&d=417652&f=ST,Lucas Garofolo,148,112,9.95,63,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27365&d=417024&f=ST,Brandon Burton,151,125,9.95,49,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27386&d=417205&f=ST,Futatsugami Takahito,263,289,34.95,81,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27411&d=417543&f=ST,Michael Craven,148,118,9.95,48,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27317&d=416414&f=ST,Tyler Heule,151,125,9.95,49,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27448&d=418022&f=ST,komattaman,150,123,9.95,48,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27445&d=417985&f=ST,Thanh Van,41,59,9.95,9,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27411&d=417558&f=ST,Davis Munsat,149,120,9.95,48,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27221&d=414164&f=ST,Tyler Heule,151,125,9.95,50,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416544&f=ST,_Batutinha_,178,209,34.95,84,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416543&f=ST,tagosaku,141,174,9.95,66,ST
